buy_date,swing_high,swing_low,buy_price,sell_price,sell_date,returns,holding_period,stock
2014-05-08,801.0945434570312,743.74,743.74,799.03,2014-05-13,7.43,5.0,ABB
2014-08-08,984.3457641601562,845.5081787109375,930.83,984.62,2014-09-02,5.78,25.0,ABB
2014-10-09,1058.1092529296875,860.9866943359375,980.83,1065.01,2014-12-04,8.58,56.0,ABB
2015-02-11,1254.55,1179.1417236328125,1254.55,1232.13,2015-02-12,-1.79,1.0,ABB
2015-03-13,1255.432373046875,1037.623779296875,1208.88,1252.59,2015-04-09,3.62,27.0,ABB
2015-05-13,1257.7020263671875,1205.0230712890625,1211.48,1242.15,2015-05-26,2.53,13.0,ABB
2015-06-04,1240.3619384765625,1097.0767822265625,1157.88,1241.16,2015-06-26,7.19,22.0,ABB
2015-08-14,1184.29,909.3668823242188,1184.29,1060.5,2015-10-19,-10.45,66.0,ABB
2015-11-26,1085.2542724609375,965.775634765625,1058.38,1083.98,2015-12-17,2.42,21.0,ABB
2016-01-06,1045.4447021484375,838.9539794921875,994.79,1036.11,2016-02-05,4.15,30.0,ABB
2016-05-04,1140.996826171875,1038.7735595703125,1133.2,1149.93,2016-07-11,1.48,68.0,ABB
2016-08-04,1100.35,895.474853515625,1100.35,1048.75,2017-01-11,-4.69,160.0,ABB
2017-03-29,1146.80712890625,1085.75,1085.75,1124.63,2017-03-31,3.58,2.0,ABB
2017-06-07,1372.773193359375,1291.04,1291.04,1369.03,2017-06-22,6.04,15.0,ABB
2017-07-19,1327.470947265625,1279.64453125,1304.73,1317.94,2017-07-21,1.01,2.0,ABB
2017-08-11,1268.8233642578125,1153.6231689453125,1215.59,1257.42,2017-09-13,3.44,33.0,ABB
2017-10-11,1281.5787353515625,1159.1365966796875,1240.86,1273.77,2017-11-30,2.65,50.0,ABB
2017-12-15,1259.336181640625,1213.9647216796875,1236.16,1248.48,2017-12-29,1.0,14.0,ABB
2018-02-20,1362.07,1093.6314697265625,1362.07,1210.45,2018-04-24,-11.13,63.0,ABB
2018-05-14,1136.3212890625,1023.5157470703125,1135.94,1129.15,2018-06-11,-0.6,28.0,ABB
2018-07-20,1115.84912109375,1000.4213256835938,1062.85,1115.6,2018-08-21,4.96,32.0,ABB
2018-10-12,1270.18505859375,1064.9886474609375,1182.06,1271.42,2018-11-29,7.56,48.0,ABB
2018-12-19,1211.17431640625,1079.841552734375,1207.1,1148.12,2019-03-08,-4.89,79.0,ABB
2019-05-13,1464.6484375,1196.220458984375,1275.53,1459.76,2019-05-28,14.44,15.0,ABB
2019-07-09,1355.0,1171.22998046875,1355.0,1282.71,2019-09-23,-5.34,76.0,ABB
2019-10-31,1359.654541015625,1249.5308837890625,1332.92,1345.95,2019-12-16,0.98,46.0,ABB
2019-12-23,1372.4000244140625,1233.3851318359375,1270.32,1372.5,2020-01-13,8.04,21.0,ABB
2020-02-13,1279.36,713.82373046875,1279.36,895.65,2020-06-08,-29.99,116.0,ABB
2020-07-28,949.4000244140625,855.230712890625,902.99,949.23,2020-08-17,5.12,20.0,ABB
2020-09-09,903.49,842.5280151367188,903.49,897.14,2020-10-22,-0.7,43.0,ABB
2021-03-17,1455.14,1294.4365234375,1455.14,1440.76,2021-05-19,-0.99,63.0,ABB
2021-07-27,1758.4000244140625,1656.050537109375,1735.84,1749.61,2021-08-17,0.79,21.0,ABB
2021-09-29,1909.300048828125,1809.9,1809.9,1910.4,2021-10-25,5.55,26.0,ABB
2021-11-30,2300.39990234375,2116.53,2116.53,2288.5,2021-12-10,8.13,10.0,ABB
2022-01-28,2252.2,1987.1812744140625,2252.2,2207.91,2022-04-06,-1.97,68.0,ABB
2022-05-05,2221.10009765625,2109.44,2109.44,2176.07,2022-05-06,3.16,1.0,ABB
2022-06-20,2364.75,2158.74,2158.74,2362.93,2022-07-06,9.46,16.0,ABB
2022-09-27,3194.300048828125,3016.0,3016.0,3174.1,2022-10-17,5.24,20.0,ABB
2022-10-31,3015.199951171875,2673.019775390625,2976.81,2920.23,2023-01-20,-1.9,81.0,ABB
2023-04-13,3453.60009765625,3144.20703125,3232.88,3466.58,2023-05-04,7.23,21.0,ABB
2023-07-21,4618.85009765625,4225.02,4225.02,4618.69,2023-09-12,9.32,53.0,ABB
2023-09-25,4310.5,3930.5,4240.4,4306.36,2023-11-10,1.56,46.0,ABB
2024-02-02,4984.7001953125,4568.78,4568.78,5174.0,2024-02-22,13.25,20.0,ABB
2019-01-23,98.0999984741211,88.09037017822266,97.38,97.51,2019-02-08,0.13,16.0,ATGL
2019-05-14,163.25,114.2041015625,120.15,161.79,2019-05-29,34.66,15.0,ATGL
2019-07-26,162.71,127.38496398925781,162.71,154.03,2019-10-15,-5.33,81.0,ATGL
2020-01-27,184.85000610351562,174.52,174.52,189.0,2020-02-24,8.3,28.0,ATGL
2020-02-26,153.66,81.45264434814453,153.66,108.16,2020-05-11,-29.61,75.0,ATGL
2020-07-29,159.1999969482422,146.73,146.73,159.55,2020-08-05,8.74,7.0,ATGL
2021-06-22,1385.89,815.3093872070312,1385.89,983.56,2021-08-18,-29.03,57.0,ATGL
2022-02-11,1883.949951171875,1586.73974609375,1805.88,1879.56,2022-03-23,4.08,40.0,ATGL
2022-05-10,2589.5,2293.00146484375,2388.03,2567.1,2022-05-31,7.5,21.0,ATGL
2022-06-20,2485.75,1988.247314453125,2162.76,2477.55,2022-07-08,14.56,18.0,ATGL
2022-09-27,3602.85009765625,3099.605224609375,3387.91,3602.8,2022-11-01,6.34,35.0,ATGL
2022-12-06,3793.0,3231.3544921875,3610.16,3842.64,2022-12-30,6.44,24.0,ATGL
2023-01-30,2513.5,678.2885131835938,2513.5,1022.46,2023-03-27,-59.32,56.0,ATGL
2023-05-10,850.83,634.0555419921875,850.83,661.33,2023-07-27,-22.27,78.0,ATGL
2023-09-01,644.2000122070312,533.75,628.28,696.5,2023-11-29,10.86,89.0,ATGL
2022-05-17,639.0,555.5,586.92,635.8,2022-07-14,8.33,58.0,AWL
2022-10-06,726.77,344.45001220703125,726.77,477.5,2023-03-09,-34.3,154.0,AWL
2023-03-31,444.29998779296875,378.0,403.96,467.45,2023-05-23,15.72,53.0,AWL
2023-06-20,421.45,404.0,421.45,417.3,2023-07-26,-0.98,36.0,AWL
2023-08-03,397.98,293.3999938964844,397.98,355.21,2023-11-29,-10.75,118.0,AWL
2024-01-25,366.45001220703125,333.79998779296875,353.26,367.5,2024-02-20,4.03,26.0,AWL
2014-05-02,221.64999389648438,162.97755432128906,198.79,220.89,2014-05-14,11.12,12.0,AMBUJACEM
2014-06-30,220.60000610351562,174.04263305664062,215.67,219.15,2014-09-09,1.61,71.0,AMBUJACEM
2014-09-17,216.89999389648438,175.7042236328125,209.44,216.56,2014-10-27,3.4,40.0,AMBUJACEM
2014-12-18,232.85000610351562,198.41285705566406,222.46,233.97,2015-01-15,5.17,28.0,AMBUJACEM
2015-03-19,258.08,196.11215209960938,258.08,240.29,2015-05-25,-6.89,67.0,AMBUJACEM
2015-06-05,238.14999389648438,186.14251708984375,229.54,237.06,2015-07-02,3.28,27.0,AMBUJACEM
2015-07-29,233.5500030517578,168.88739013671875,231.45,213.43,2015-10-19,-7.79,82.0,AMBUJACEM
2015-10-30,209.6999969482422,178.68658447265625,208.49,209.94,2015-11-04,0.7,5.0,AMBUJACEM
