,,,,,,,5D_returns,5D_returns,5D_returns,5D_returns,5D_returns,10D_returns,10D_returns,10D_returns,10D_returns,10D_returns
,,,,,,,count,mean,median,min,max,count,mean,median,min,max
10_cross_30,MACD_Signal_MACD,MACD_lim,abv_50,abv_200,5D_positive,10D_positive,,,,,,,,,,
0,0,0,0,0,0,0,1648,-4.146402008845326,-2.7333526310886214,-99.57901293870731,0.0,1648,-5.780154616676675,-3.754889768822749,-99.52777858063327,0.0
0,0,0,0,0,0,1,655,-1.7207710376379073,-1.1694522304389312,-19.696836318653133,0.0,655,2.614043022198891,1.595067875113684,0.005846997324594926,29.202756983319073
0,0,0,0,0,1,0,514,1.6244007526277189,1.0626089024485483,0.004605331242950445,17.74261051840338,514,-2.531692389209573,-1.727900831334257,-18.8140245539987,0.0
0,0,0,0,0,1,1,1880,4.350568381680696,2.826944244843225,0.00579501104161986,965.5798861425981,1880,5.702690920970492,3.981953921901505,0.021085266226082044,829.5980012630604
0,0,0,0,1,0,0,1308,-3.9112405143593176,-2.253179535968849,-99.63698569629435,0.0,1308,-5.456563230533259,-3.052182539317971,-99.66330495384615,0.0
0,0,0,0,1,0,1,464,-1.5116016490450501,-1.0598513870824653,-9.804154935453532,0.0,464,2.4572272741431704,1.8024368359581877,0.00693225180372214,15.326395107605522
0,0,0,0,1,1,0,440,1.773742431567369,1.1441513719427547,0.008961249429449068,15.92953489223738,440,-2.2631530852969415,-1.543600938575207,-16.159285750504036,0.0
0,0,0,0,1,1,1,1559,5.434962445311909,2.468854923750678,0.005032066487957159,1111.0320271327364,1559,6.970080536609051,3.637297469494104,0.005919766665624093,1088.1595564248971
0,0,0,1,0,0,0,132,-3.9781718018720955,-2.9126876046255017,-21.482424115877556,-0.012105622890706127,132,-6.0234015396330705,-4.936409480771088,-21.913224696494055,-0.2077915945441339
0,0,0,1,0,0,1,40,-2.0272475187506056,-1.459274106535174,-8.575216761365493,0.0,40,2.6324234687235184,2.5537196978391963,0.049156388951233115,7.745878745785846
0,0,0,1,0,1,0,39,2.008590367522626,1.5718686845972853,0.020955847860944326,7.99205478995242,39,-2.2082899976203643,-1.450481468010564,-8.953836600678402,-0.0576248720575371
0,0,0,1,0,1,1,149,3.126236338431846,2.3822010613962012,0.06129646393071439,17.055630626784723,149,4.468371551331432,4.166465826307177,0.21368518133320283,19.251158108849513
0,0,0,1,1,0,0,299,-3.983129010418344,-2.396550373235583,-99.67793142226358,0.0,299,-4.829539502547524,-2.9379725099426266,-99.64603051369821,0.0
0,0,0,1,1,0,1,107,-1.8288734268538438,-1.1700303437494708,-9.936403143933308,-0.008741608266199262,107,2.5674095172876155,1.5004630565739727,0.050316327158178444,14.654200591534808
0,0,0,1,1,1,0,130,1.73455727902637,1.368433613843726,0.022933149868134387,7.039561974262582,130,-2.6455088875546005,-1.9854295560578696,-13.55556258519443,-0.047395977280984776
0,0,0,1,1,1,1,379,3.1315836389355063,2.50505721560272,0.016574134333279773,18.067927531772675,379,4.739762590113384,3.7096470209741854,0.01716062842697475,20.556256906925345
0,0,1,0,1,0,0,12,-3.3555574264905856,-2.942925549964435,-8.709030048279196,-0.22240609552192495,12,-3.730229917563419,-2.9955587346235895,-9.028837383966287,0.0
0,0,1,0,1,0,1,7,-1.0515337148121342,-0.9447991192991478,-2.081960262795932,-0.32197274809042103,7,1.614288785216853,1.4296953401517303,0.30853927143590637,3.1688378548057687
0,0,1,0,1,1,0,1,0.18615418542046275,0.18615418542046275,0.18615418542046275,0.18615418542046275,1,-1.741539577835071,-1.741539577835071,-1.741539577835071,-1.741539577835071
0,0,1,0,1,1,1,14,1.9700566533476687,2.367449077065094,0.018167986694096565,4.152810643221697,14,3.6501662799476735,3.912967629273183,0.6591506863856049,6.674981465797651
0,0,1,1,0,0,0,64,-3.055242849347395,-2.983595633717505,-13.60945954637305,-0.04466754257305611,64,-4.167431133630452,-3.918278731456743,-12.594086063643267,-0.20822345288326302
0,0,1,1,0,0,1,28,-1.1967349608463211,-0.8147917822248923,-4.472482745587697,-0.014561797010278649,28,3.9889945580357318,2.526131964101724,0.22583593623128856,12.09526617847833
0,0,1,1,0,1,0,14,1.435839805814172,1.0680297488403858,0.18815485811411073,4.551176039733191,14,-2.180477652944277,-2.4517605888268355,-4.2489663576014856,-0.07213177222377573
0,0,1,1,0,1,1,73,2.9814486273843688,1.9817441971349457,0.14359658017950006,12.796678112828857,73,4.913228062251419,4.047908206929075,0.07257846241311033,14.616765420903604
0,0,1,1,1,0,0,423,-3.1470430998215324,-2.280621583404054,-16.98973264126122,0.0,423,-5.221505759671014,-3.261896256533045,-99.68470825381024,-0.00812075731862537
0,0,1,1,1,0,1,123,-2.0667932668273963,-1.0051245703200917,-79.99451492314557,0.0,123,2.5306038637168373,2.0667378593420707,0.013896257801929681,17.886691062978034
