MAHINDRA,WIPRO,INFOSYS,EXIDE,,,,,,,,,,,,,,,,,,,,,,
444.11,192.73,388.93,117,,,,,,,,,,,,,,,,,,,,,,
448.6,191.98,396.89,115.8,,,,,,,,,,,,,,,,,,,,,,
455.64,198.45,408.16,118,,,,,,,,,,,,,,,,,,,,,,
459.4,196.71,406.76,121.6,,,,,,,,,,,,,,,,,,,,,,
457.56,193.69,409.06,120.45,,,,,,,,,,,,,,,,,,,,,,
455.64,188.55,397.19,122.9,,,,,,,,,,,,,,,,,,,,,,
434.69,180.77,376.88,130.7,,,,,,,,,,,,,,,,,,,,,,
442.76,185.49,390.28,133.2,,,,,,,,,,,,,,,,,,,,,,
436.63,184.91,394.64,135.35,,,,,,,,,,,,,,,,,,,,,,
436.96,181.31,389.24,135.65,,,,,,,,,,,,,,,,,,,,,,
446.59,183.75,383.69,142.5,,,,,,,,,,,,,,,,,,,,,,
451.35,189.75,386.86,135.9,,,,,,,,,,,,,,,,,,,,,,
463.61,190.58,391.76,134.7,,,,,,,,,,,,,,,,,,,,,,
471.71,192.84,396.66,136.35,,,,,,,,,,,,,,,,,,,,,,
469.44,187.43,365.56,137.75,,,,,,,,,,,,,,,,,,,,,,
480.75,189.83,367.43,140.55,,,,,,,,,,,,,,,,,,,,,,
473.98,187.16,374.14,143.35,,,,,,,,,,,,,,,,,,,,,,
475.3,185.33,377.15,144.1,,,,,,,,,,,,,,,,,,,,,,
471.53,184.52,373.06,149.95,,,,,,,,,,,,,,,,,,,,,,
476.1,187.86,380.14,148.45,,,,,,,,,,,,,,,,,,,,,,
477.54,190.93,375.38,146.75,,,,,,,,,,,,,,,,,,,,,,
488.94,191.91,373.31,148.15,,,,,,,,,,,,,,,,,,,,,,
501.04,196.88,384.39,147.05,,,,,,,,,,,,,,,,,,,,,,
504.76,197.89,399.17,144.75,,,,,,,,,,,,,,,,,,,,,,
499.7,199.56,396.88,145.4,,,,,,,,,,,,,,,,,,,,,,
505.34,198.9,398.38,142.3,,,,,,,,,,,,,,,,,,,,,,
505.66,201.04,405.52,141.8,,,,,,,,,,,,,,,,,,,,,,
506.76,201.04,405.86,144,,,,,,,,,,,,,,,,,,,,,,
502.96,198.94,405.06,139.7,,,,,,,,,,,,,,,,,,,,,,
507.64,201.45,413.99,141.4,,,,,,,,,,,,,,,,,,,,,,
502.26,201.3,414.58,140.4,,,,,,,,,,,,,,,,,,,,,,
500.64,199.28,404.07,140,,,,,,,,,,,,,,,,,,,,,,
498.64,199.24,400.48,140.9,,,,,,,,,,,,,,,,,,,,,,
504.55,198.43,401.41,143.9,,,,,,,,,,,,,,,,,,,,,,
511.8,200.79,397.81,143.75,,,,,,,,,,,,,,,,,,,,,,
531.42,204.73,402.93,143.1,,,,,,,,,,,,,,,,,,,,,,
538,204.9,406.94,145,,,,,,,,,,,,,,,,,,,,,,
527.23,201.83,402.63,149.7,,,,,,,,,,,,,,,,,,,,,,
525.17,202.82,401.91,158.6,,,,,,,,,,,,,,,,,,,,,,
528.36,208.31,401.34,158.6,,,,,,,,,,,,,,,,,,,,,,
528.98,205.03,405.74,159.2,,,,,,,,,,,,,,,,,,,,,,
534.33,209.1,418.18,158.1,,,,,,,,,,,,,,,,,,,,,,
526.42,206.16,417.77,150.35,,,,,,,,,,,,,,,,,,,,,,
516.84,204.49,413.79,149.85,,,,,,,,,,,,,,,,,,,,,,
505.36,204.28,411.59,150.3,,,,,,,,,,,,,,,,,,,,,,
512.48,207.32,415.83,144.75,,,,,,,,,,,,,,,,,,,,,,
509.65,202.05,403.16,147,,,,,,,,,,,,,,,,,,,,,,
515.69,200.94,403.21,152.4,,,,,,,,,,,,,,,,,,,,,,
519.36,200.74,403.7,153.4,,,,,,,,,,,,,,,,,,,,,,
525.11,201.51,404.91,153.2,,,,,,,,,,,,,,,,,,,,,,
530.45,205.14,406.44,159.8,,,,,,,,,,,,,,,,,,,,,,
527.29,204.36,400.09,158.2,,,,,,,,,,,,,,,,,,,,,,
533.84,209.53,404.21,165.35,,,,,,,,,,,,,,,,,,,,,,
537.58,214.09,418.68,160,,,,,,,,,,,,,,,,,,,,,,
544.66,216.32,422.78,160.1,,,,,,,,,,,,,,,,,,,,,,
544.17,206.64,419.03,159.95,,,,,,,,,,,,,,,,,,,,,,
547.76,208.89,421.39,162.6,,,,,,,,,,,,,,,,,,,,,,
540.35,206.53,421.53,167.1,,,,,,,,,,,,,,,,,,,,,,
537.65,204.15,420.96,164.45,,,,,,,,,,,,,,,,,,,,,,
531.81,201,417.66,163.9,,,,,,,,,,,,,,,,,,,,,,
541.78,205.74,433.19,165.25,,,,,,,,,,,,,,,,,,,,,,
546.92,206.08,439.13,162.35,,,,,,,,,,,,,,,,,,,,,,
551.21,206.78,446.98,160.65,,,,,,,,,,,,,,,,,,,,,,
552.69,207.24,438.42,161.95,,,,,,,,,,,,,,,,,,,,,,
547.16,205.52,435.33,157.4,,,,,,,,,,,,,,,,,,,,,,
540.3,203.61,446.69,157.05,,,,,,,,,,,,,,,,,,,,,,
541.4,203.91,447.1,163.1,,,,,,,,,,,,,,,,,,,,,,
536.98,206.34,451.05,160.65,,,,,,,,,,,,,,,,,,,,,,
537.67,204.73,451.57,160.75,,,,,,,,,,,,,,,,,,,,,,
550.65,205.37,444.98,163.65,,,,,,,,,,,,,,,,,,,,,,
552.79,205.28,443.48,165.75,,,,,,,,,,,,,,,,,,,,,,
555.42,207.06,444.32,167.85,,,,,,,,,,,,,,,,,,,,,,
559.06,206.68,443.62,166.45,,,,,,,,,,,,,,,,,,,,,,
576.61,208.86,450.13,162.6,,,,,,,,,,,,,,,,,,,,,,
578.41,208.26,453.48,160.15,,,,,,,,,,,,,,,,,,,,,,
588.34,206.59,453.02,158.6,,,,,,,,,,,,,,,,,,,,,,
582.4,209.46,453.82,164.3,,,,,,,,,,,,,,,,,,,,,,
590.75,211.97,449.85,162.9,,,,,,,,,,,,,,,,,,,,,,
592.96,212.19,449.96,166.8,,,,,,,,,,,,,,,,,,,,,,
601.66,210.38,451.72,165.3,,,,,,,,,,,,,,,,,,,,,,
610.79,216.45,466.78,165.85,,,,,,,,,,,,,,,,,,,,,,
617.13,216.43,463.59,162.65,,,,,,,,,,,,,,,,,,,,,,
617.06,218.21,466.34,162.35,,,,,,,,,,,,,,,,,,,,,,
621.92,222.26,472.71,163.1,,,,,,,,,,,,,,,,,,,,,,
609.75,220.5,467.01,161.85,,,,,,,,,,,,,,,,,,,,,,
611.09,218.12,458.41,162.85,,,,,,,,,,,,,,,,,,,,,,
610.98,215.25,460.52,164.6,,,,,,,,,,,,,,,,,,,,,,
611.44,215.63,458.74,175.05,,,,,,,,,,,,,,,,,,,,,,
617,213.09,455.16,178.65,,,,,,,,,,,,,,,,,,,,,,
605.81,209.79,456.41,171.25,,,,,,,,,,,,,,,,,,,,,,
606.2,212.76,467.63,173.45,,,,,,,,,,,,,,,,,,,,,,
606.53,218.18,462.13,178,,,,,,,,,,,,,,,,,,,,,,
619.56,220.65,462.76,172.15,,,,,,,,,,,,,,,,,,,,,,
617.3,218.06,456.33,172.65,,,,,,,,,,,,,,,,,,,,,,
618.45,218.51,450.89,169.8,,,,,,,,,,,,,,,,,,,,,,
621.26,222.28,455.6,169.65,,,,,,,,,,,,,,,,,,,,,,
625.49,218.46,461.38,165.75,,,,,,,,,,,,,,,,,,,,,,
618.31,220.73,460.02,170.45,,,,,,,,,,,,,,,,,,,,,,
621.66,222.32,468.63,169.5,,,,,,,,,,,,,,,,,,,,,,
622.42,223.8,468.47,169.6,,,,,,,,,,,,,,,,,,,,,,
630.2,230.91,480.91,172.15,,,,,,,,,,,,,,,,,,,,,,
628.53,231.94,478.91,167.25,,,,,,,,,,,,,,,,,,,,,,
599.05,222.58,456.27,167.9,,,,,,,,,,,,,,,,,,,,,,
584.11,220.22,455.85,171.1,,,,,,,,,,,,,,,,,,,,,,
584.76,219.26,486.08,167.45,,,,,,,,,,,,,,,,,,,,,,
592,219.21,492.82,170.7,,,,,,,,,,,,,,,,,,,,,,
593.03,217.52,489.79,170.05,,,,,,,,,,,,,,,,,,,,,,
576.34,214.99,483.16,166.6,,,,,,,,,,,,,,,,,,,,,,
568.25,212.21,481.46,164.5,,,,,,,,,,,,,,,,,,,,,,
574.01,208.65,476.54,158.35,,,,,,,,,,,,,,,,,,,,,,
582.67,214.99,471.62,151.55,,,,,,,,,,,,,,,,,,,,,,
583.69,218.87,474.51,155.7,,,,,,,,,,,,,,,,,,,,,,
590.49,210.36,475.49,160.1,,,,,,,,,,,,,,,,,,,,,,
581.6,208.05,475.38,156.4,,,,,,,,,,,,,,,,,,,,,,
592.81,207.64,473.53,155.65,,,,,,,,,,,,,,,,,,,,,,
599.24,208.8,485.18,154.55,,,,,,,,,,,,,,,,,,,,,,
619.89,210.09,493.32,156.45,,,,,,,,,,,,,,,,,,,,,,
629.42,211.39,506.41,157.6,,,,,,,,,,,,,,,,,,,,,,
645.09,211.84,510.74,159.7,,,,,,,,,,,,,,,,,,,,,,
652.65,209.63,515.6,160.05,,,,,,,,,,,,,,,,,,,,,,
662.91,207.54,520.83,160.75,,,,,,,,,,,,,,,,,,,,,,
658.53,209.57,520.69,162.85,,,,,,,,,,,,,,,,,,,,,,
657.5,208.99,515.65,163.75,,,,,,,,,,,,,,,,,,,,,,
655.11,208.52,513.25,164.4,,,,,,,,,,,,,,,,,,,,,,
661.25,209.55,522.33,161.75,,,,,,,,,,,,,,,,,,,,,,
659.5,211.46,523.96,161,,,,,,,,,,,,,,,,,,,,,,
649.04,211.56,527.31,162.3,,,,,,,,,,,,,,,,,,,,,,
649.11,212.34,522.79,162.1,,,,,,,,,,,,,,,,,,,,,,
656.81,211.84,521.67,158.5,,,,,,,,,,,,,,,,,,,,,,
676.43,214.46,528.2,156.7,,,,,,,,,,,,,,,,,,,,,,
669.09,214.54,518.27,155.8,,,,,,,,,,,,,,,,,,,,,,
665.33,217.26,534.39,157.45,,,,,,,,,,,,,,,,,,,,,,
655.1,218.08,537.9,152,,,,,,,,,,,,,,,,,,,,,,
661.78,217.43,537.56,157.4,,,,,,,,,,,,,,,,,,,,,,
661.56,218.25,545.74,163.05,,,,,,,,,,,,,,,,,,,,,,
660.01,219.68,544.98,166.05,,,,,,,,,,,,,,,,,,,,,,
663.26,222.23,543.73,167.9,,,,,,,,,,,,,,,,,,,,,,
664.35,221.61,531.65,174.4,,,,,,,,,,,,,,,,,,,,,,
673.15,222.69,530.88,173.1,,,,,,,,,,,,,,,,,,,,,,
669.81,222.26,525.45,171.35,,,,,,,,,,,,,,,,,,,,,,
654.54,217.07,517.58,170.05,,,,,,,,,,,,,,,,,,,,,,
653.2,213.13,492.54,169.6,,,,,,,,,,,,,,,,,,,,,,
653.04,208.84,491.2,171.55,,,,,,,,,,,,,,,,,,,,,,
642.88,207.06,490.94,174.65,,,,,,,,,,,,,,,,,,,,,,
654.69,204.86,480.26,171.9,,,,,,,,,,,,,,,,,,,,,,
647.14,203.68,484.66,170.6,,,,,,,,,,,,,,,,,,,,,,
623.94,203.08,481.2,175,,,,,,,,,,,,,,,,,,,,,,
633.64,201.28,484.5,166.75,,,,,,,,,,,,,,,,,,,,,,
623.94,200.68,484.63,161.05,,,,,,,,,,,,,,,,,,,,,,
637.35,201.73,491.48,170.05,,,,,,,,,,,,,,,,,,,,,,
644.85,206.46,499.66,169.35,,,,,,,,,,,,,,,,,,,,,,
648.61,208.18,499.9,172,,,,,,,,,,,,,,,,,,,,,,
643.19,207.15,492.91,168.85,,,,,,,,,,,,,,,,,,,,,,
629.4,204.56,482.64,170.25,,,,,,,,,,,,,,,,,,,,,,
641.67,205.28,488.06,176.5,,,,,,,,,,,,,,,,,,,,,,
647.44,206.31,489.45,176.3,,,,,,,,,,,,,,,,,,,,,,
652.91,207.21,491.59,179.5,,,,,,,,,,,,,,,,,,,,,,
648.39,208.2,493.14,177.8,,,,,,,,,,,,,,,,,,,,,,
648.64,207.15,493.6,188.4,,,,,,,,,,,,,,,,,,,,,,
651.81,208.99,503.3,184.55,,,,,,,,,,,,,,,,,,,,,,
640.94,209.36,498.98,185.5,,,,,,,,,,,,,,,,,,,,,,
634.06,204.47,488.55,185.15,,,,,,,,,,,,,,,,,,,,,,
631.1,202.91,490.89,183.65,,,,,,,,,,,,,,,,,,,,,,
641.66,204.38,493.36,185.6,,,,,,,,,,,,,,,,,,,,,,
670.09,207.56,518.61,189.5,,,,,,,,,,,,,,,,,,,,,,
688.5,208.52,528.99,188.7,,,,,,,,,,,,,,,,,,,,,,
690.28,211.31,522.23,185.2,,,,,,,,,,,,,,,,,,,,,,
697.89,206.98,532.16,185.4,,,,,,,,,,,,,,,,,,,,,,
695.45,209.81,533.56,186.85,,,,,,,,,,,,,,,,,,,,,,
704.24,208.14,529.58,185.2,,,,,,,,,,,,,,,,,,,,,,
700.06,219.08,525.63,184.05,,,,,,,,,,,,,,,,,,,,,,
700.45,221.4,531.05,179.9,,,,,,,,,,,,,,,,,,,,,,
699.13,220.76,542.48,185.5,,,,,,,,,,,,,,,,,,,,,,
689.53,222.96,549.11,192.05,,,,,,,,,,,,,,,,,,,,,,
695.19,225.68,553.76,201.75,,,,,,,,,,,,,,,,,,,,,,
704.16,224.46,534.13,198.75,,,,,,,,,,,,,,,,,,,,,,
718.34,227.72,536.14,198.05,,,,,,,,,,,,,,,,,,,,,,
726.1,226.01,536.38,193.8,,,,,,,,,,,,,,,,,,,,,,
717.13,227.46,535.48,186.05,,,,,,,,,,,,,,,,,,,,,,
723.76,234.41,534.21,195.05,,,,,,,,,,,,,,,,,,,,,,
729.79,233.08,530.23,197.55,,,,,,,,,,,,,,,,,,,,,,
713.06,232.2,535.71,193,,,,,,,,,,,,,,,,,,,,,,
716.94,239.34,548.45,191.65,,,,,,,,,,,,,,,,,,,,,,
715.09,241.22,557.63,184.5,,,,,,,,,,,,,,,,,,,,,,
705.11,242.93,562.23,177,,,,,,,,,,,,,,,,,,,,,,
690.63,240.98,569.58,174.2,,,,,,,,,,,,,,,,,,,,,,
710.44,239.4,571.21,177.6,,,,,,,,,,,,,,,,,,,,,,
727.33,242.55,577.8,177.95,,,,,,,,,,,,,,,,,,,,,,
721.64,247.76,574.03,176.35,,,,,,,,,,,,,,,,,,,,,,
724.89,248.06,569.69,180.25,,,,,,,,,,,,,,,,,,,,,,
723.06,250.88,574.13,182.35,,,,,,,,,,,,,,,,,,,,,,
707.54,247.31,581.17,184.25,,,,,,,,,,,,,,,,,,,,,,
702.55,243.75,570.78,183.8,,,,,,,,,,,,,,,,,,,,,,
694.69,243.66,566.4,182.2,,,,,,,,,,,,,,,,,,,,,,
697.83,244.88,568.2,182.5,,,,,,,,,,,,,,,,,,,,,,
690.64,248.93,579.4,178.15,,,,,,,,,,,,,,,,,,,,,,
687.03,246.71,564.53,176.05,,,,,,,,,,,,,,,,,,,,,,
708.94,245.36,566.44,180.4,,,,,,,,,,,,,,,,,,,,,,
715.01,249.19,572.92,181.65,,,,,,,,,,,,,,,,,,,,,,
727.13,252.17,574.46,181.05,,,,,,,,,,,,,,,,,,,,,,
719.88,247.31,568.66,176.35,,,,,,,,,,,,,,,,,,,,,,
719.54,250.43,561.9,180.85,,,,,,,,,,,,,,,,,,,,,,
702.84,247.54,547.51,177.9,,,,,,,,,,,,,,,,,,,,,,
709.95,245.36,549.5,182,,,,,,,,,,,,,,,,,,,,,,
730.41,245.53,545.55,183.6,,,,,,,,,,,,,,,,,,,,,,
714.25,245.74,554.58,192.45,,,,,,,,,,,,,,,,,,,,,,
704.6,239.72,555.1,188.15,,,,,,,,,,,,,,,,,,,,,,
706.99,242.34,566.66,186.85,,,,,,,,,,,,,,,,,,,,,,
715.73,241.28,560.13,186.85,,,,,,,,,,,,,,,,,,,,,,
700.13,236.78,557.38,183.75,,,,,,,,,,,,,,,,,,,,,,
687.15,238.14,557.61,183.15,,,,,,,,,,,,,,,,,,,,,,
678.3,244.74,564.36,180.9,,,,,,,,,,,,,,,,,,,,,,
656.8,241.91,558.36,179.85,,,,,,,,,,,,,,,,,,,,,,
659.65,244.59,552.86,184.1,,,,,,,,,,,,,,,,,,,,,,
656.35,247.91,554.78,183.05,,,,,,,,,,,,,,,,,,,,,,
651.15,236.96,536.59,180.2,,,,,,,,,,,,,,,,,,,,,,
645.9,229.56,550.54,178.4,,,,,,,,,,,,,,,,,,,,,,
626.95,233.78,557,180.1,,,,,,,,,,,,,,,,,,,,,,
629.7,235.82,554.59,177.75,,,,,,,,,,,,,,,,,,,,,,
632.7,237.45,543.49,178.15,,,,,,,,,,,,,,,,,,,,,,
643.35,232.93,544.55,177.8,,,,,,,,,,,,,,,,,,,,,,
652.85,230.64,539.88,183.4,,,,,,,,,,,,,,,,,,,,,,
672.3,231.11,550.14,184.2,,,,,,,,,,,,,,,,,,,,,,
670.4,231.43,553.75,188.95,,,,,,,,,,,,,,,,,,,,,,
660.2,231.64,558.49,188.85,,,,,,,,,,,,,,,,,,,,,,
664.4,234.08,559.7,190.25,,,,,,,,,,,,,,,,,,,,,,
659.85,227.49,553.42,188.95,,,,,,,,,,,,,,,,,,,,,,
656.05,225.73,548.66,188.6,,,,,,,,,,,,,,,,,,,,,,
641.05,220.07,544.81,188.45,,,,,,,,,,,,,,,,,,,,,,
632.3,215.78,533.04,180.85,,,,,,,,,,,,,,,,,,,,,,
637.5,216.81,535.65,179.35,,,,,,,,,,,,,,,,,,,,,,
629.8,204.21,534.42,179.25,,,,,,,,,,,,,,,,,,,,,,
615.2,200.34,530.5,177.45,,,,,,,,,,,,,,,,,,,,,,
587.5,196.2,498.8,175,,,,,,,,,,,,,,,,,,,,,,
587.25,200.18,496.16,170.95,,,,,,,,,,,,,,,,,,,,,,
608.6,199.59,490.23,176.1,,,,,,,,,,,,,,,,,,,,,,
616.9,203.12,490.29,181.25,,,,,,,,,,,,,,,,,,,,,,
621.35,201.98,485.56,171.55,,,,,,,,,,,,,,,,,,,,,,
611.75,202.93,498.28,161.9,,,,,,,,,,,,,,,,,,,,,,
609.95,204.34,490.69,161.9,,,,,,,,,,,,,,,,,,,,,,
608.9,199.63,480.51,155.2,,,,,,,,,,,,,,,,,,,,,,
614.25,201.81,486,151.25,,,,,,,,,,,,,,,,,,,,,,
621.4,202.69,489.49,153.35,,,,,,,,,,,,,,,,,,,,,,
631.3,203.06,498.41,157.6,,,,,,,,,,,,,,,,,,,,,,
616.2,200.19,486.78,151.5,,,,,,,,,,,,,,,,,,,,,,
616.35,203.34,489.18,152.25,,,,,,,,,,,,,,,,,,,,,,
615.45,201.19,483.7,154.95,,,,,,,,,,,,,,,,,,,,,,
