Symbol
ABB
ABFRL
ACC
AMBUJACEM
APLAPOLLO
APOLLOHOSP
ASHOKLEY
ASIANPAINT
AUROPHARMA
AXISBANK
BAJAJFINSV
BAJFINANCE
BDL
BEL
BERGEPAINT
BHARATFORG
BHARTIARTL
BIOCON
BPCL
CHOLAFIN
CIPLA
COFORGE
CONCOR
COROMANDEL
DIVISLAB
EICHERMOT
FACT
FEDERALBNK
FLUOROCHEM
GAIL
GODREJCP
GODREJPROP
GUJGASLTD
HAL
HAVELLS
HINDPETRO
HINDUNILVR
ICICIBANK
ICICIGI
IGL
INDHOTEL
INDUSINDBK
IRCTC
ITC
JSWENERGY
JSWSTEEL
KPITTECH
LALPATHLAB
LODHA
LTTS
M&M
M&MFIN
MANKIND
MARICO
MAXHEALTH
MAZDOCK
MCDOWELL-N
MFSL
MPHASIS
NAUKRI
NAVINFLUOR
NHPC
OBEROIRLTY
PETRONET
PFC
PIDILITIND
POLYCAB
POONAWALLA
POWERGRID
PRESTIGE
RAMCOCEM
RVNL
SBILIFE
SBIN
SHRIRAMFIN
SIEMENS
SRF
SYNGENE
TATACHEM
TATACOMM
TATACONSUM
TATAELXSI
TCS
TIINDIA
TITAN
TORNTPOWER
TRENT
TVSMOTOR
UBL
ULTRACEMCO
VBL
VOLTAS
ZOMATO
ZYDUSLIFE
